x[cm]  Ekin[MeV]  S[MeV/cm]
10.599999999999978  0.6157841391140028  0.002101224703087327
10.699999999999978  0.6155740060210627  0.0021013309294003425
10.799999999999978  0.6153638622953306  0.0021014372573212193
10.899999999999977  0.6151537079266413  0.0021015436868930914
10.999999999999977  0.6149435429048253  0.0021016502181591223
11.099999999999977  0.6147333672197091  0.002101756851162505
11.199999999999976  0.6145231808611145  0.002101863585946459
11.299999999999976  0.614312983818859  0.0021019704225542354
11.399999999999975  0.6141027760827561  0.002102077361029111
11.499999999999975  0.6138925576426146  0.002102184401414394
11.599999999999975  0.6136823284882393  0.0021022915437534195
11.699999999999974  0.6134720886094304  0.0021023987880895534
11.799999999999974  0.6132618379959838  0.0021025061344661883
11.899999999999974  0.613051576637691  0.002102613582926748
11.999999999999973  0.6128413045243396  0.002102721133514682
